Periodo,termo,valor (%)
2020-12-20,Energia Elétrica,19
2020-12-20,Energia Solar,39
2020-12-20,Energia Eólica,2
2020-12-27,Eficiência Energética,1
2020-12-27,Energia Elétrica,15
2020-12-27,Energia Solar,36
2020-12-27,Energia Eólica,3
2021-01-03,Eficiência Energética,1
2021-01-03,Energia Elétrica,18
2021-01-03,Energia Solar,48
2021-01-03,Energia Eólica,3
2021-01-10,Eficiência Energética,1
2021-01-10,Energia Elétrica,18
2021-01-10,Energia Solar,54
2021-01-10,Energia Eólica,3
2021-01-17,Eficiência Energética,1
2021-01-17,Energia Elétrica,17
2021-01-17,Energia Solar,49
2021-01-17,Energia Eólica,2
2021-01-24,Eficiência Energética,1
2021-01-24,Energia Elétrica,17
2021-01-24,Energia Solar,49
2021-01-24,Energia Eólica,2
2021-01-31,Eficiência Energética,1
2021-01-31,Energia Elétrica,18
2021-01-31,Energia Solar,50
2021-01-31,Energia Eólica,3
2021-02-07,Eficiência Energética,1
2021-02-07,Energia Elétrica,25
2021-02-07,Energia Solar,51
2021-02-07,Energia Eólica,3
2021-02-14,Eficiência Energética,1
2021-02-14,Energia Elétrica,19
2021-02-14,Energia Solar,48
2021-02-14,Energia Eólica,3
2021-02-21,Eficiência Energética,1
2021-02-21,Energia Elétrica,30
2021-02-21,Energia Solar,52
2021-02-21,Energia Eólica,5
2021-02-28,Eficiência Energética,1
2021-02-28,Energia Elétrica,28
2021-02-28,Energia Solar,52
2021-02-28,Energia Eólica,5
2021-03-07,Eficiência Energética,1
2021-03-07,Energia Elétrica,34
2021-03-07,Energia Solar,52
2021-03-07,Energia Eólica,6
2021-03-14,Eficiência Energética,1
2021-03-14,Energia Elétrica,45
2021-03-14,Energia Solar,55
2021-03-14,Energia Eólica,7
2021-03-21,Eficiência Energética,1
2021-03-21,Energia Elétrica,40
2021-03-21,Energia Solar,53
2021-03-21,Energia Eólica,6
2021-03-28,Eficiência Energética,1
2021-03-28,Energia Elétrica,35
2021-03-28,Energia Solar,51
2021-03-28,Energia Eólica,5
2021-04-04,Eficiência Energética,1
2021-04-04,Energia Elétrica,43
2021-04-04,Energia Solar,55
2021-04-04,Energia Eólica,8
2021-04-11,Eficiência Energética,1
2021-04-11,Energia Elétrica,51
2021-04-11,Energia Solar,55
2021-04-11,Energia Eólica,10
2021-04-18,Eficiência Energética,2
2021-04-18,Energia Elétrica,52
2021-04-18,Energia Solar,59
2021-04-18,Energia Eólica,10
2021-04-25,Eficiência Energética,2
2021-04-25,Energia Elétrica,54
2021-04-25,Energia Solar,62
2021-04-25,Energia Eólica,10
2021-05-02,Eficiência Energética,2
2021-05-02,Energia Elétrica,43
2021-05-02,Energia Solar,55
2021-05-02,Energia Eólica,8
2021-05-09,Eficiência Energética,2
2021-05-09,Energia Elétrica,46
2021-05-09,Energia Solar,59
2021-05-09,Energia Eólica,9
2021-05-16,Eficiência Energética,1
2021-05-16,Energia Elétrica,52
2021-05-16,Energia Solar,61
2021-05-16,Energia Eólica,8
2021-05-23,Eficiência Energética,1
2021-05-23,Energia Elétrica,53
2021-05-23,Energia Solar,66
2021-05-23,Energia Eólica,9
2021-05-30,Eficiência Energética,1
2021-05-30,Energia Elétrica,44
2021-05-30,Energia Solar,64
2021-05-30,Energia Eólica,9
2021-06-06,Eficiência Energética,2
2021-06-06,Energia Elétrica,50
2021-06-06,Energia Solar,62
2021-06-06,Energia Eólica,10
2021-06-13,Eficiência Energética,7
2021-06-13,Energia Elétrica,58
2021-06-13,Energia Solar,66
2021-06-13,Energia Eólica,11
2021-06-20,Eficiência Energética,7
2021-06-20,Energia Elétrica,57
2021-06-20,Energia Solar,72
2021-06-20,Energia Eólica,10
2021-06-27,Eficiência Energética,3
2021-06-27,Energia Elétrica,54
2021-06-27,Energia Solar,71
2021-06-27,Energia Eólica,8
2021-07-04,Eficiência Energética,2
2021-07-04,Energia Elétrica,41
2021-07-04,Energia Solar,70
2021-07-04,Energia Eólica,7
2021-07-11,Eficiência Energética,1
2021-07-11,Energia Elétrica,31
2021-07-11,Energia Solar,63
2021-07-11,Energia Eólica,7
2021-07-18,Eficiência Energética,1
2021-07-18,Energia Elétrica,26
2021-07-18,Energia Solar,60
2021-07-18,Energia Eólica,4
2021-07-25,Eficiência Energética,1
2021-07-25,Energia Elétrica,26
2021-07-25,Energia Solar,56
2021-07-25,Energia Eólica,5
2021-08-01,Eficiência Energética,2
2021-08-01,Energia Elétrica,36
2021-08-01,Energia Solar,55
2021-08-01,Energia Eólica,6
2021-08-08,Eficiência Energética,1
2021-08-08,Energia Elétrica,39
2021-08-08,Energia Solar,66
2021-08-08,Energia Eólica,8
2021-08-15,Eficiência Energética,2
2021-08-15,Energia Elétrica,44
2021-08-15,Energia Solar,72
2021-08-15,Energia Eólica,9
2021-08-22,Eficiência Energética,1
2021-08-22,Energia Elétrica,48
2021-08-22,Energia Solar,100
2021-08-22,Energia Eólica,9
2021-08-29,Eficiência Energética,1
2021-08-29,Energia Elétrica,54
2021-08-29,Energia Solar,93
2021-08-29,Energia Eólica,10
2021-09-05,Eficiência Energética,1
2021-09-05,Energia Elétrica,43
2021-09-05,Energia Solar,85
2021-09-05,Energia Eólica,9
2021-09-12,Eficiência Energética,1
2021-09-12,Energia Elétrica,51
2021-09-12,Energia Solar,81
2021-09-12,Energia Eólica,10
2021-09-19,Eficiência Energética,1
2021-09-19,Energia Elétrica,52
2021-09-19,Energia Solar,92
2021-09-19,Energia Eólica,10
2021-09-26,Eficiência Energética,1
2021-09-26,Energia Elétrica,51
2021-09-26,Energia Solar,81
2021-09-26,Energia Eólica,11
2021-10-03,Eficiência Energética,1
2021-10-03,Energia Elétrica,42
2021-10-03,Energia Solar,78
2021-10-03,Energia Eólica,9
